name,date_utc,year,month,flight_number,rocket_name,launch_site,pad_lat,pad_lon,pad_locality,payload_mass_kg,orbit,customers_count,num_payloads,landing_success,landing_type
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15T22:54:00.000Z,2021,5,127,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13632.0,VLEO,4,3,True,ASDS
Starlink-28 (v1.0),2021-05-26T18:59:00.000Z,2021,5,128,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
CRS-22 & IROSA,2021-06-03T17:29:00.000Z,2021,6,129,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,3328.0,ISS,1,1,True,ASDS
SXM-8,2021-06-06T04:26:00.000Z,2021,6,130,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,7000.0,GTO,1,1,True,ASDS
GPS III SV05,2021-06-17T16:09:00.000Z,2021,6,131,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3681.0,MEO,1,1,True,ASDS
Transporter-2,2021-06-30T19:31:00.000Z,2021,6,132,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,SSO,0,1,True,RTLS
CRS-23,2021-08-29T07:14:00.000Z,2021,8,133,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
Starlink 2-1 (v1.5),2021-09-14T03:55:00.000Z,2021,9,134,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,15600.0,PO,1,1,True,ASDS
Inspiration4,2021-09-16T00:02:00.000Z,2021,9,135,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,LEO,1,1,True,ASDS
Crew-3,2021-11-11T02:03:00.000Z,2021,11,136,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,12519.0,ISS,1,1,True,ASDS
Starlink 4-1 (v1.5),2021-11-13T12:40:00.000Z,2021,11,137,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,LEO,1,1,True,ASDS
DART,2021-11-24T06:20:00.000Z,2021,11,138,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,670.0,TLI,1,1,True,ASDS
Starlink 4-3 (v1.5),2021-12-01T23:20:00.000Z,2021,12,139,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,PO,1,1,True,ASDS
IXPE,2021-12-09T06:00:00.000Z,2021,12,140,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,330.0,LEO,2,1,True,ASDS
Starlink 4-4 (v1.5),2021-12-18T12:41:40.000Z,2021,12,141,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,PO,1,1,True,ASDS
Türksat 5B,2021-12-19T03:58:00.000Z,2021,12,142,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3500.0,GTO,1,1,True,ASDS
CRS-24,2021-12-21T10:06:00.000Z,2021,12,143,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
Starlink 4-5 (v1.5),2022-01-06T21:49:00.000Z,2022,1,144,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Transporter-3,2022-01-13T15:25:00.000Z,2022,1,145,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,LEO,2,1,True,RTLS
Starlink 4-6 (v1.5),2022-01-19T00:04:00.000Z,2022,1,146,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
CSG-2,2022-01-31T23:11:12.000Z,2022,1,147,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2240.0,SSO,1,1,True,RTLS
NROL-87,2022-02-02T20:18:00.000Z,2022,2,148,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,,LEO,2,1,True,RTLS
Starlink 4-7 (v1.5),2022-02-03T18:13:00.000Z,2022,2,149,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
